Z_PK,Z_ENT,Z_OPT,ZDESC,ZNAME
1,3,13,,Madison Varsity 2016-2017
2,3,2,,2013-2014?
3,3,8,,Madison JV 2016-2017
4,3,2,,2014-2015 Basketball season
5,3,2,,Madison Varsity 2015-2016
6,3,2,,Madison JV 2015-2016
7,3,24,,Madison Varsity 2017-2018
9,3,17,,Madison High School JV 2017-2018
10,3,12,,Madison JV 2019
11,3,39,,Madison Varsity 2019-2020
12,3,1,,New League
13,3,53,,Madison Varsity 2019
14,3,1,,Boarh High Jv
